
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:09:57 2019
Timers Off: Sun Dec 29 14:12:40 2019

Wall Time:      162.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Amn^x                         :     28.517u      0.483s     17.360w     13 calls
DFMP2 L                             :     12.300u      0.700s      7.790w     13 calls
DFMP2 P                             :      0.000u      0.000s      0.146w     13 calls
DFMP2 W                             :      0.017u      0.000s      0.033w     13 calls
DFMP2 Z                             :     65.583u      1.467s     40.236w     13 calls
| DFH: sparsity prep                :      0.833u      0.000s      0.508w     13 calls
| DFH: initialize()                 :     19.183u      0.850s     12.025w     13 calls
| | DFH: AO Construction            :      7.467u      0.233s      4.600w     13 calls
| | DFH: AO-Met. Contraction        :      6.350u      0.417s      4.077w     13 calls
| JK: D                             :      0.000u      0.000s      0.012w    195 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w    195 calls
| JK: JK                            :     44.950u      0.550s     27.276w    195 calls
| | DFH: compute_JK()               :     44.950u      0.550s     27.275w    195 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    195 calls
| | | DFH: compute_J                :     10.300u      0.000s      6.203w    195 calls
| | | DFH: compute_K                :     34.633u      0.517s     21.054w    195 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    195 calls
DFMP2 grad                          :     63.583u      2.933s     39.875w     13 calls
| Grad: V T Perturb                 :      3.317u      0.017s      1.994w     13 calls
| Grad: S                           :      0.033u      0.000s      0.022w     13 calls
| Grad: JK                          :     59.883u      2.900s     37.635w     13 calls
| | CorrGrad: Amn                   :     14.167u      1.033s      9.133w     13 calls
| | CorrGrad: AB                    :      6.783u      0.467s      4.345w     13 calls
| | CorrGrad: UV                    :      2.000u      0.400s      1.441w     13 calls
| | CorrGrad: ABx                   :      1.400u      0.017s      0.829w     13 calls
| | CorrGrad: Amnx                  :     34.650u      0.767s     21.278w     13 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:12:40 2019
Timers Off: Sun Dec 29 14:13:53 2019

Wall Time:       72.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.044w      1 calls
DFH: initialize()                   :      2.417u      0.100s      1.522w      1 calls
DFH: AO Construction                :      1.200u      0.017s      0.728w      1 calls
DFH: AO-Met. Contraction            :      0.800u      0.050s      0.518w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      1 calls
HF: Guess                           :      0.567u      0.000s      0.340w      1 calls
SAD Guess                           :      0.550u      0.000s      0.327w      1 calls
HF: Form G                          :      2.333u      0.033s      1.418w     14 calls
JK: D                               :      0.017u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :      2.317u      0.033s      1.414w     14 calls
DFH: compute_JK()                   :      2.317u      0.033s      1.414w     14 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     14 calls
DFH: compute_J                      :      0.417u      0.000s      0.255w     14 calls
DFH: compute_K                      :      1.900u      0.033s      1.158w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.050u      0.017s      0.037w     13 calls
DIISManager::add_entry              :      0.000u      0.000s      0.005w     13 calls
DIISManager::extrapolate            :      0.017u      0.017s      0.012w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.005w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.000u      0.017s      0.006w     13 calls
HF: Form C                          :      0.100u      0.000s      0.053w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      2.067u      0.083s      1.282w      1 calls
DFMP2 (A|mn)                        :      1.783u      0.000s      1.063w      1 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.040w      1 calls
DFMP2 (A|mi)C_na                    :      0.033u      0.000s      0.022w      1 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.010w      1 calls
DFMP2 Qia                           :      0.567u      0.033s      0.357w      1 calls
