
Host: node37.bme.utexas.edu

Timers On : Tue Apr  7 11:05:57 2020
Timers Off: Tue Apr  7 11:06:02 2020

Wall Time:        4.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 (A|mn)                      :      5.050u      0.000s      0.379w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.217u      0.000s      0.017w      1 calls
| DFMP2 (A|mi)C_na                  :      0.133u      0.000s      0.009w      1 calls
| DFMP2 Aia Write                   :      0.117u      0.033s      0.012w      1 calls
DFMP2 iaQ                           :      5.717u      0.400s      0.459w      1 calls
| DFMP2 Metric                      :      4.233u      0.217s      0.334w      1 calls
| DFMP2 Aia Read                    :      0.100u      0.033s      0.009w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.700u      0.000s      0.054w      2 calls
| DFMP2 Qia Write                   :      0.117u      0.033s      0.012w      1 calls
| DFMP2 Qia Read                    :      0.067u      0.033s      0.007w      1 calls
| DFMP2 Bia Write                   :      0.133u      0.033s      0.013w      1 calls
DFMP2 aiQ                           :      0.383u      0.050s      0.034w      1 calls
DFMP2 Tij                           :      4.867u      0.283s      0.387w      1 calls
| DFMP2 Qia Read                    :      0.133u      0.017s      0.011w      2 calls
| DFMP2 Cia Read                    :      0.067u      0.017s      0.007w      1 calls
| DFMP2 I                           :      1.367u      0.017s      0.103w      1 calls
| DFMP2 T2                          :      0.200u      0.000s      0.014w      1 calls
| DFMP2 G                           :      1.417u      0.017s      0.108w      1 calls
| DFMP2 Pab                         :      0.550u      0.000s      0.042w      1 calls
| DFMP2 Gia Write                   :      0.167u      0.050s      0.014w      1 calls
DFMP2 Tab                           :      3.167u      0.200s      0.254w      1 calls
| DFMP2 Qai Read                    :      0.150u      0.017s      0.013w      2 calls
| DFMP2 I                           :      1.367u      0.033s      0.105w      1 calls
| DFMP2 T2                          :      0.433u      0.000s      0.033w      1 calls
| DFMP2 Pij                         :      0.283u      0.000s      0.021w      1 calls
DFMP2 gamma                         :      0.783u      0.067s      0.065w      1 calls
| DFMP2 Gia Read                    :      0.067u      0.033s      0.007w      1 calls
| DFMP2 Cia Read                    :      0.067u      0.000s      0.006w      1 calls
| DFMP2 g                           :      0.400u      0.017s      0.031w      1 calls
DFMP2 Gia                           :      0.633u      0.100s      0.057w      1 calls
| DFMP2 Gia Read                    :      0.067u      0.000s      0.005w      1 calls
| DFMP2 aiG Write                   :      0.133u      0.017s      0.012w      1 calls
DFMP2 AB^x                          :      1.983u      0.133s      0.175w      1 calls
DFMP2 Amn^x                         :     17.883u      0.383s      1.458w      1 calls
DFMP2 L                             :      9.117u      0.400s      0.913w      1 calls
DFMP2 P                             :      0.083u      0.017s      0.009w      1 calls
DFMP2 W                             :      0.100u      0.000s      0.009w      1 calls
DFMP2 Z                             :     24.650u      1.033s      1.928w      1 calls
| DFH: sparsity prep                :      0.617u      0.033s      0.049w      1 calls
| DFH: initialize()                 :      9.817u      0.533s      0.778w      1 calls
| | DFH: AO Construction            :      2.450u      0.067s      0.189w      1 calls
| | DFH: AO-Met. Contraction        :      2.700u      0.200s      0.218w      1 calls
| JK: D                             :      0.017u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w     13 calls
| JK: JK                            :     13.267u      0.367s      1.020w     13 calls
| | DFH: compute_JK()               :     13.267u      0.367s      1.019w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      2.183u      0.000s      0.162w     13 calls
| | | DFH: compute_K                :     10.883u      0.317s      0.839w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************
