
Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 17:40:37 2020
Timers Off: Wed Apr  1 17:44:31 2020

Wall Time:      234.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.017u      0.000s      0.002w     13 calls
HF: DIIS                            :      0.467u      0.033s      0.084w     12 calls
DIISManager::add_entry              :      0.100u      0.017s      0.020w     12 calls
DIISManager::extrapolate            :      0.167u      0.000s      0.030w     12 calls
bMatrix setup                       :      0.050u      0.000s      0.015w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     12 calls
New vector                          :      0.117u      0.000s      0.013w     12 calls
HF: Form C                          :      1.100u      0.033s      0.168w     12 calls
DFMP2 Singles                       :      0.017u      0.000s      0.002w      1 calls
DFMP2 Aia                           :      8.600u      0.750s      1.644w      1 calls
DFMP2 (A|mn)                        :      6.217u      0.167s      0.957w      1 calls
DFMP2 (A|mn)C_mi                    :      0.467u      0.033s      0.076w      1 calls
DFMP2 (A|mi)C_na                    :      0.200u      0.000s      0.031w      1 calls
DFMP2 Aia Write                     :      0.100u      0.050s      0.022w      1 calls
DFMP2 Qia                           :      3.817u      0.267s      0.613w      1 calls
DFMP2 Metric                        :      2.650u      0.133s      0.417w      1 calls
DFMP2 Aia Read                      :      0.083u      0.017s      0.015w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.683u      0.000s      0.103w      1 calls
DFMP2 Qia Write                     :      0.100u      0.050s      0.021w      1 calls
DFMP2 Energy                        :      2.300u      0.150s      0.369w      1 calls
DFMP2 Qia Read                      :      0.133u      0.017s      0.025w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.017s      0.072w      1 calls
DFH: initialize()                   :     13.400u      1.267s      2.237w      1 calls
| DFH: AO Construction              :      3.750u      0.150s      0.584w      1 calls
| DFH: AO-Met. Contraction          :      5.417u      0.867s      0.970w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.036w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.016w      1 calls
HF: Guess                           :      4.167u      0.283s      0.668w      1 calls
| SAD Guess                         :      4.083u      0.283s      0.653w      1 calls
HF: Form G                          :     12.533u      1.167s      2.053w     13 calls
| JK: D                             :      0.000u      0.000s      0.002w     13 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w     13 calls
| JK: JK                            :     12.467u      1.167s      2.041w     13 calls
| | DFH: compute_JK()               :     12.467u      1.167s      2.041w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      2.717u      0.050s      0.413w     13 calls
| | | DFH: compute_K                :      9.300u      0.900s      1.532w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.002w     13 calls
HF: DIIS                            :      0.467u      0.033s      0.084w     12 calls
| DIISManager::add_entry            :      0.100u      0.017s      0.020w     12 calls
| DIISManager::extrapolate          :      0.167u      0.000s      0.030w     12 calls
| | bMatrix setup                   :      0.050u      0.000s      0.015w     12 calls
