
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:25:21 2019
Timers Off: Sun Dec 29 13:25:23 2019

Wall Time:        2.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | DFH: AO Construction            :      0.017u      0.000s      0.009w      2 calls
| | DFH: AO-Met. Contraction        :      0.000u      0.000s      0.002w      2 calls
| JK: D                             :      0.000u      0.000s      0.000w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :      0.017u      0.000s      0.005w     16 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.005w     16 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     16 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     16 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.004w     16 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
DFMP2 grad                          :      0.617u      0.000s      0.380w      2 calls
| Grad: V T Perturb                 :      0.033u      0.000s      0.026w      2 calls
| Grad: S                           :      0.000u      0.000s      0.000w      2 calls
| Grad: JK                          :      0.550u      0.000s      0.328w      2 calls
| | CorrGrad: Amn                   :      0.100u      0.000s      0.059w      2 calls
| | CorrGrad: AB                    :      0.133u      0.000s      0.080w      2 calls
| | CorrGrad: UV                    :      0.000u      0.000s      0.001w      2 calls
| | CorrGrad: ABx                   :      0.083u      0.000s      0.052w      2 calls
| | CorrGrad: Amnx                  :      0.150u      0.000s      0.085w      2 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:25:23 2019
Timers Off: Sun Dec 29 13:25:27 2019

Wall Time:        3.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
DFH: initialize()                   :      0.133u      0.017s      0.092w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.016w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.383u      0.000s      0.224w      1 calls
SAD Guess                           :      0.350u      0.000s      0.212w      1 calls
HF: Form G                          :      0.017u      0.000s      0.005w      9 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.017u      0.000s      0.005w      9 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.005w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      9 calls
DFH: compute_K                      :      0.017u      0.000s      0.003w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.004w      8 calls
DIISManager::add_entry              :      0.000u      0.000s      0.000w      8 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      8 calls
