
Host: bme-nova.bme.utexas.edu

Timers On : Mon Apr  6 14:33:13 2020
Timers Off: Mon Apr  6 14:40:19 2020

Wall Time:      426.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Amn^x                         :     15.333u      1.717s      3.273w      1 calls
DFMP2 L                             :      7.750u      3.150s      3.044w      1 calls
DFMP2 P                             :      0.000u      0.000s      0.001w      1 calls
DFMP2 W                             :      0.000u      0.000s      0.001w      1 calls
DFMP2 Z                             :     27.167u     12.983s      6.174w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.053w      1 calls
DFH: initialize()                   :      9.017u      4.667s      2.135w      1 calls
| DFH: AO Construction              :      2.817u      1.217s      0.602w      1 calls
| DFH: AO-Met. Contraction          :      3.167u      2.117s      0.790w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.010w      1 calls
HF: Guess                           :      4.417u      0.117s      0.681w      1 calls
| SAD Guess                         :      4.333u      0.100s      0.666w      1 calls
HF: Form G                          :     11.033u      5.867s      2.705w     17 calls
| JK: D                             :      0.017u      0.000s      0.002w     17 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     17 calls
| JK: JK                            :     10.983u      5.850s      2.697w     17 calls
| | DFH: compute_JK()               :     10.983u      5.850s      2.697w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      1.450u      0.000s      0.218w     17 calls
| | | DFH: compute_K                :      9.250u      5.733s      2.419w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.017u      0.000s      0.002w     17 calls
HF: Form D                          :      0.000u      0.000s      0.002w     17 calls
HF: DIIS                            :      0.400u      0.050s      0.072w     16 calls
| DIISManager::add_entry            :      0.050u      0.017s      0.010w     16 calls
| DIISManager::extrapolate          :      0.167u      0.017s      0.031w     16 calls
| | bMatrix setup                   :      0.083u      0.017s      0.017w     16 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     16 calls
| | New vector                      :      0.083u      0.000s      0.014w     16 calls
HF: Form C                          :      1.050u      0.017s      0.157w     16 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      6.700u      1.767s      2.042w      1 calls
| DFMP2 (A|mn)                      :      4.783u      0.017s      0.719w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.250u      0.000s      0.039w      1 calls
| DFMP2 (A|mi)C_na                  :      0.133u      0.000s      0.020w      1 calls
| DFMP2 Aia Write                   :      0.100u      0.033s      0.018w      1 calls
DFMP2 iaQ                           :      3.033u      0.200s      0.485w      1 calls
| DFMP2 Metric                      :      1.933u      0.033s      0.298w      1 calls
| DFMP2 Aia Read                    :      0.033u      0.017s      0.008w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.650u      0.000s      0.098w      2 calls
| DFMP2 Qia Write                   :      0.083u      0.033s      0.020w      1 calls
| DFMP2 Qia Read                    :      0.033u      0.017s      0.007w      1 calls
| DFMP2 Bia Write                   :      0.100u      0.050s      0.019w      1 calls
DFMP2 aiQ                           :      0.150u      0.050s      0.031w      1 calls
DFMP2 Tij                           :      3.733u      1.183s      1.156w      1 calls
