
Host: node144.bme.utexas.edu

Timers On : Wed Jan  8 15:28:53 2020
Timers Off: Wed Jan  8 16:12:43 2020

Wall Time:     2629.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Host: bme-nova.bme.utexas.edu

Timers On : Mon Jan 13 15:01:24 2020
Timers Off: Mon Jan 13 15:01:58 2020

Wall Time:       33.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.950s      0.685w      1 calls
DFH: initialize()                   :    191.550u     27.833s     13.887w      1 calls
DFH: AO Construction                :     35.600u      7.167s      2.577w      1 calls
DFH: AO-Met. Contraction            :     33.900u     15.667s      3.029w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.233u      0.017s      0.016w      1 calls
HF: Guess                           :     14.967u      0.900s      0.968w      1 calls
SAD Guess                           :     14.583u      0.867s      0.943w      1 calls
HF: Form G                          :     81.083u    141.933s     14.042w     11 calls
JK: D                               :      0.050u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     11 calls
JK: JK                              :     80.983u    141.933s     14.035w     11 calls
DFH: compute_JK()                   :     80.983u    141.917s     14.034w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      8.983u      0.133s      0.544w     11 calls
DFH: compute_K                      :     63.750u    140.250s     12.905w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.017s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.617u      0.050s      0.039w     10 calls
DIISManager::add_entry              :      0.117u      0.000s      0.007w     10 calls
DIISManager::extrapolate            :      0.250u      0.050s      0.016w     10 calls
bMatrix setup                       :      0.117u      0.033s      0.009w     10 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.001w     10 calls
New vector                          :      0.100u      0.017s      0.007w     10 calls
HF: Form C                          :      1.367u      0.017s      0.084w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.950s      0.685w      1 calls
DFH: initialize()                   :    191.550u     27.833s     13.887w      1 calls
| DFH: AO Construction              :     35.600u      7.167s      2.577w      1 calls
| DFH: AO-Met. Contraction          :     33.900u     15.667s      3.029w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.233u      0.017s      0.016w      1 calls
HF: Guess                           :     14.967u      0.900s      0.968w      1 calls
| SAD Guess                         :     14.583u      0.867s      0.943w      1 calls
HF: Form G                          :     81.083u    141.933s     14.042w     11 calls
| JK: D                             :      0.050u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     11 calls
| JK: JK                            :     80.983u    141.933s     14.035w     11 calls
| | DFH: compute_JK()               :     80.983u    141.917s     14.034w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      8.983u      0.133s      0.544w     11 calls
| | | DFH: compute_K                :     63.750u    140.250s     12.905w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.017s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.617u      0.050s      0.039w     10 calls
| DIISManager::add_entry            :      0.117u      0.000s      0.007w     10 calls
| DIISManager::extrapolate          :      0.250u      0.050s      0.016w     10 calls
| | bMatrix setup                   :      0.117u      0.033s      0.009w     10 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.001w     10 calls
| | New vector                      :      0.100u      0.017s      0.007w     10 calls
HF: Form C                          :      1.367u      0.017s      0.084w     10 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Mon Jan 13 15:01:23 2020
Timers Off: Mon Jan 13 15:01:58 2020

Wall Time:       35.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Mon Jan 13 18:04:30 2020
Timers Off: Mon Jan 13 18:05:04 2020

Wall Time:       34.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.200u      0.000s      0.123w      1 calls
DFH: initialize()                   :    188.367u     29.950s     14.191w      1 calls
DFH: AO Construction                :     33.000u      7.250s      2.413w      1 calls
DFH: AO-Met. Contraction            :     37.000u     16.800s      3.413w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.167u      0.000s      0.010w      1 calls
HF: Guess                           :     14.967u      0.617s      0.938w      1 calls
SAD Guess                           :     14.700u      0.600s      0.922w      1 calls
HF: Form G                          :     76.383u    164.383s     15.111w     11 calls
JK: D                               :      0.017u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     11 calls
JK: JK                              :     76.267u    164.350s     15.102w     11 calls
DFH: compute_JK()                   :     76.267u    164.350s     15.102w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      8.900u      0.083s      0.541w     11 calls
DFH: compute_K                      :     59.300u    162.883s     13.994w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.050u      0.000s      0.001w     11 calls
HF: Form D                          :      0.033u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.617u      0.067s      0.041w     10 calls
DIISManager::add_entry              :      0.100u      0.050s      0.007w     10 calls
DIISManager::extrapolate            :      0.250u      0.000s      0.017w     10 calls
bMatrix setup                       :      0.167u      0.000s      0.010w     10 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     10 calls
New vector                          :      0.083u      0.000s      0.007w     10 calls
HF: Form C                          :      1.433u      0.033s      0.087w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.200u      0.000s      0.123w      1 calls
DFH: initialize()                   :    188.367u     29.950s     14.191w      1 calls
| DFH: AO Construction              :     33.000u      7.250s      2.413w      1 calls
| DFH: AO-Met. Contraction          :     37.000u     16.800s      3.413w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.002w      1 calls
