
Host: node47.bme.utexas.edu

Timers On : Tue Mar  3 18:02:00 2020
Timers Off: Tue Mar  3 18:19:26 2020

Wall Time:     1046.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix setup                   :      2.667u      0.567s      0.315w     14 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     14 calls
| | New vector                      :      2.550u      0.333s      0.296w     14 calls
HF: Form C                          :     46.400u      0.667s      4.713w     14 calls
DFMP2 Singles                       :      0.450u      0.000s      0.045w      1 calls
DFMP2 Aia                           :   1132.483u     10.333s    128.855w      1 calls
| DFMP2 (A|mn)                      :    941.300u      0.717s     94.326w      3 calls
| DFMP2 (A|mn)C_mi                  :     92.917u      0.267s      9.333w      3 calls
| DFMP2 (A|mi)C_na                  :     72.417u      0.100s      7.261w      3 calls
| DFMP2 Aia Write                   :      3.700u      4.317s      2.616w      3 calls
DFMP2 Qia                           :    612.717u      9.600s     66.777w      1 calls
| DFMP2 Metric                      :    278.483u      2.567s     28.310w      1 calls
| DFMP2 Aia Read                    :      0.000u      1.517s      0.914w      1 calls
| DFMP2 (Q|A)(A|ia)                 :    331.217u      0.050s     33.370w      1 calls
| DFMP2 Qia Write                   :      0.233u      3.400s      2.147w      1 calls
DFMP2 Energy                        :   2746.917u      5.600s    279.673w      1 calls
| DFMP2 Qia Read                    :      1.717u      1.550s      1.963w      2 calls

**************************************************************************************

Host: node43.bme.utexas.edu

Timers On : Tue Mar  3 17:56:34 2020
Timers Off: Tue Mar  3 18:18:45 2020

Wall Time:     1330.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.517u      0.300s      0.868w      1 calls
JK: (A|mn)                          :   1327.667u      0.150s    132.794w      1 calls
JK: (A|Q)^-1/2                      :    290.017u      4.267s     29.491w      1 calls
JK: (Q|mn)                          :   1408.500u      1.150s    140.989w      1 calls
HF: Form core H                     :      0.550u      0.050s      0.064w      1 calls
HF: Form S/X                        :      2.633u      0.117s      0.276w      1 calls
HF: Guess                           :      8.733u      0.433s      0.917w      1 calls
SAD Guess                           :      8.517u      0.417s      0.893w      1 calls
HF: Form G                          :   4802.967u     27.900s    498.780w     15 calls
JK: D                               :      0.583u      0.033s      0.063w     15 calls
JK: USO2AO                          :      0.417u      0.050s      0.043w     15 calls
JK: JK                              :   4801.300u     27.767s    498.599w     15 calls
JK: J                               :    151.250u      1.250s     15.330w     30 calls
JK: J1                              :     76.583u      0.783s      7.737w     30 calls
