
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:35:06 2019
Timers Off: Sun Dec 29 13:36:06 2019

Wall Time:       60.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | DFH: compute_K                :      0.333u      0.000s      0.189w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.017u      0.017s      0.018w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.003w     13 calls
| DIISManager::extrapolate          :      0.000u      0.017s      0.005w     13 calls
| | bMatrix setup                   :      0.000u      0.017s      0.002w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     13 calls
| | New vector                      :      0.000u      0.000s      0.002w     13 calls
HF: Form C                          :      0.033u      0.000s      0.020w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.517u      0.017s      0.325w      1 calls
| DFMP2 (A|mn)                      :      0.383u      0.000s      0.233w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.017u      0.000s      0.007w      1 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.004w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.002w      1 calls
DFMP2 Qia                           :      0.183u      0.000s      0.116w      1 calls
| DFMP2 Metric                      :      0.167u      0.000s      0.099w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.017u      0.000s      0.011w      1 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.002w      1 calls
DFMP2 Energy                        :      0.033u      0.017s      0.021w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.001w      2 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:36:28 2019
Timers Off: Sun Dec 29 13:37:12 2019

Wall Time:       44.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
DFH: initialize()                   :      1.733u      0.083s      1.089w      1 calls
DFH: AO Construction                :      0.800u      0.017s      0.492w      1 calls
DFH: AO-Met. Contraction            :      0.600u      0.033s      0.380w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      0.833u      0.000s      0.502w      1 calls
SAD Guess                           :      0.817u      0.000s      0.488w      1 calls
HF: Form G                          :      1.300u      0.017s      0.799w     14 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :      1.300u      0.017s      0.796w     14 calls
DFH: compute_JK()                   :      1.300u      0.017s      0.796w     14 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     14 calls
DFH: compute_J                      :      0.350u      0.000s      0.206w     14 calls
DFH: compute_K                      :      0.950u      0.000s      0.589w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.050u      0.017s      0.036w     13 calls
DIISManager::add_entry              :      0.000u      0.000s      0.005w     13 calls
DIISManager::extrapolate            :      0.017u      0.017s      0.011w     13 calls
bMatrix setup                       :      0.000u      0.017s      0.005w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.000u      0.000s      0.005w     13 calls
HF: Form C                          :      0.083u      0.000s      0.055w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      1.283u      0.067s      0.803w      1 calls
DFMP2 (A|mn)                        :      1.067u      0.000s      0.641w      1 calls
DFMP2 (A|mn)C_mi                    :      0.050u      0.000s      0.025w      1 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.012w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.006w      1 calls
DFMP2 Qia                           :      0.367u      0.017s      0.230w      1 calls
DFMP2 Metric                        :      0.300u      0.000s      0.181w      1 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.003w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.050u      0.000s      0.036w      1 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.006w      1 calls
DFMP2 Energy                        :      0.117u      0.000s      0.074w      1 calls
DFMP2 Qia Read                      :      0.017u      0.000s      0.003w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
DFH: initialize()                   :      1.733u      0.083s      1.089w      1 calls
| DFH: AO Construction              :      0.800u      0.017s      0.492w      1 calls
| DFH: AO-Met. Contraction          :      0.600u      0.033s      0.380w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      0.833u      0.000s      0.502w      1 calls
| SAD Guess                         :      0.817u      0.000s      0.488w      1 calls
HF: Form G                          :      1.300u      0.017s      0.799w     14 calls
| JK: D                             :      0.000u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :      1.300u      0.017s      0.796w     14 calls
| | DFH: compute_JK()               :      1.300u      0.017s      0.796w     14 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     14 calls
| | | DFH: compute_J                :      0.350u      0.000s      0.206w     14 calls
| | | DFH: compute_K                :      0.950u      0.000s      0.589w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.050u      0.017s      0.036w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.005w     13 calls
| DIISManager::extrapolate          :      0.017u      0.017s      0.011w     13 calls
| | bMatrix setup                   :      0.000u      0.017s      0.005w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.000u      0.000s      0.005w     13 calls
HF: Form C                          :      0.083u      0.000s      0.055w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      1.283u      0.067s      0.803w      1 calls
| DFMP2 (A|mn)                      :      1.067u      0.000s      0.641w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.050u      0.000s      0.025w      1 calls
| DFMP2 (A|mi)C_na                  :      0.017u      0.000s      0.012w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.006w      1 calls
DFMP2 Qia                           :      0.367u      0.017s      0.230w      1 calls
| DFMP2 Metric                      :      0.300u      0.000s      0.181w      1 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.003w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.050u      0.000s      0.036w      1 calls
