
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:30:42 2019
Timers Off: Sun Dec 29 12:30:49 2019

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: JK                            :      0.300u      0.000s      0.179w     91 calls
| | DFH: compute_JK()               :      0.300u      0.000s      0.179w     91 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     91 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.032w     91 calls
| | | DFH: compute_K                :      0.250u      0.000s      0.145w     91 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     91 calls
HF: Form F                          :      0.000u      0.000s      0.001w     91 calls
HF: Form D                          :      0.000u      0.000s      0.001w     91 calls
HF: DIIS                            :      0.100u      0.017s      0.092w     90 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.037w     82 calls
| DIISManager::extrapolate          :      0.000u      0.017s      0.012w     82 calls
| | bMatrix setup                   :      0.000u      0.017s      0.005w     82 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.003w     82 calls
| | New vector                      :      0.000u      0.000s      0.004w     82 calls
HF: Form C                          :      0.017u      0.017s      0.033w     90 calls
Grad: V T Perturb                   :      0.283u      0.000s      0.183w      9 calls
Grad: S                             :      0.017u      0.000s      0.003w      9 calls
Grad: JK                            :      6.617u      0.000s      4.196w      9 calls
| JKGrad: Amn                       :      0.967u      0.000s      0.592w      9 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      9 calls
| JKGrad: AB                        :      0.867u      0.000s      0.546w      9 calls
| JKGrad: UV                        :      0.017u      0.000s      0.009w      9 calls
| JKGrad: ABx                       :      0.700u      0.000s      0.393w      9 calls
| JKGrad: Amnx                      :      3.633u      0.000s      2.195w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:31:01 2019
Timers Off: Sun Dec 29 12:31:16 2019

Wall Time:       14.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.000s      0.350w     13 calls
DFH: initialize()                   :      2.917u      0.033s      1.768w     13 calls
DFH: AO Construction                :      0.817u      0.000s      0.486w     13 calls
DFH: AO-Met. Contraction            :      0.267u      0.017s      0.171w     13 calls
HF: Form core H                     :      0.000u      0.017s      0.200w     13 calls
HF: Form S/X                        :      0.017u      0.000s      0.006w     13 calls
HF: Guess                           :      0.533u      0.000s      0.323w     13 calls
SAD Guess                           :      0.517u      0.000s      0.311w      1 calls
HF: Form G                          :      0.433u      0.000s      0.269w    132 calls
JK: D                               :      0.000u      0.000s      0.002w    132 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    132 calls
JK: JK                              :      0.433u      0.000s      0.260w    132 calls
DFH: compute_JK()                   :      0.433u      0.000s      0.259w    132 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    132 calls
DFH: compute_J                      :      0.067u      0.000s      0.046w    132 calls
DFH: compute_K                      :      0.367u      0.000s      0.211w    132 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    132 calls
HF: Form F                          :      0.000u      0.000s      0.002w    132 calls
HF: Form D                          :      0.000u      0.000s      0.002w    132 calls
HF: DIIS                            :      0.117u      0.017s      0.120w    131 calls
