
Host: node37.bme.utexas.edu

Timers On : Thu Apr  2 11:00:55 2020
Timers Off: Thu Apr  2 11:05:28 2020

Wall Time:      272.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: Amnx                      :    210.967u      5.133s     33.144w     16 calls
Grad: XC                            :    174.883u      1.200s     26.428w     16 calls
| Properties                        :     59.012p                          37691 calls
| Functional                        :     10.705p                          37691 calls
| V_xc gradient                     :     34.711p                          37691 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Thu Apr  2 11:10:03 2020
Timers Off: Thu Apr  2 11:10:13 2020

Wall Time:        9.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.117u      0.000s      0.067w      1 calls
DFH: initialize()                   :     10.467u      0.650s      1.712w      1 calls
DFH: AO Construction                :      2.933u      0.067s      0.452w      1 calls
DFH: AO-Met. Contraction            :      3.800u      0.350s      0.628w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.051w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.019w      1 calls
HF: Guess                           :      4.650u      0.317s      0.744w      1 calls
SAD Guess                           :      4.517u      0.300s      0.725w      1 calls
HF: Form G                          :      9.783u      0.950s      1.608w     13 calls
JK: D                               :      0.000u      0.000s      0.003w     13 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     13 calls
JK: JK                              :      9.700u      0.933s      1.592w     13 calls
DFH: compute_JK()                   :      9.683u      0.933s      1.591w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      2.067u      0.100s      0.322w     13 calls
DFH: compute_K                      :      7.167u      0.650s      1.173w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.004w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      0.450u      0.100s      0.083w     12 calls
DIISManager::add_entry              :      0.083u      0.033s      0.013w     12 calls
DIISManager::extrapolate            :      0.150u      0.050s      0.033w     12 calls
bMatrix setup                       :      0.100u      0.017s      0.015w     12 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     12 calls
New vector                          :      0.033u      0.033s      0.014w     12 calls
HF: Form C                          :      0.733u      0.000s      0.113w     12 calls
DFMP2 Singles                       :      0.017u      0.000s      0.002w      1 calls
DFMP2 Aia                           :      7.417u      0.900s      1.486w      1 calls
DFMP2 (A|mn)                        :      5.150u      0.350s      0.826w      1 calls
DFMP2 (A|mn)C_mi                    :      0.417u      0.033s      0.068w      1 calls
DFMP2 (A|mi)C_na                    :      0.233u      0.017s      0.035w      1 calls
DFMP2 Aia Write                     :      0.083u      0.033s      0.020w      1 calls
DFMP2 Qia                           :      3.867u      0.317s      0.631w      1 calls
DFMP2 Metric                        :      2.783u      0.133s      0.439w      1 calls
DFMP2 Aia Read                      :      0.083u      0.033s      0.018w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.617u      0.017s      0.095w      1 calls
DFMP2 Qia Write                     :      0.117u      0.050s      0.025w      1 calls
DFMP2 Energy                        :      1.617u      0.100s      0.266w      1 calls
DFMP2 Qia Read                      :      0.150u      0.050s      0.028w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.117u      0.000s      0.067w      1 calls
DFH: initialize()                   :     10.467u      0.650s      1.712w      1 calls
| DFH: AO Construction              :      2.933u      0.067s      0.452w      1 calls
| DFH: AO-Met. Contraction          :      3.800u      0.350s      0.628w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.051w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.019w      1 calls
HF: Guess                           :      4.650u      0.317s      0.744w      1 calls
| SAD Guess                         :      4.517u      0.300s      0.725w      1 calls
HF: Form G                          :      9.783u      0.950s      1.608w     13 calls
| JK: D                             :      0.000u      0.000s      0.003w     13 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w     13 calls
| JK: JK                            :      9.700u      0.933s      1.592w     13 calls
| | DFH: compute_JK()               :      9.683u      0.933s      1.591w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      2.067u      0.100s      0.322w     13 calls
| | | DFH: compute_K                :      7.167u      0.650s      1.173w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.004w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      0.450u      0.100s      0.083w     12 calls
| DIISManager::add_entry            :      0.083u      0.033s      0.013w     12 calls
| DIISManager::extrapolate          :      0.150u      0.050s      0.033w     12 calls
| | bMatrix setup                   :      0.100u      0.017s      0.015w     12 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     12 calls
| | New vector                      :      0.033u      0.033s      0.014w     12 calls
HF: Form C                          :      0.733u      0.000s      0.113w     12 calls
DFMP2 Singles                       :      0.017u      0.000s      0.002w      1 calls
DFMP2 Aia                           :      7.417u      0.900s      1.486w      1 calls
| DFMP2 (A|mn)                      :      5.150u      0.350s      0.826w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.417u      0.033s      0.068w      1 calls
| DFMP2 (A|mi)C_na                  :      0.233u      0.017s      0.035w      1 calls
| DFMP2 Aia Write                   :      0.083u      0.033s      0.020w      1 calls
DFMP2 Qia                           :      3.867u      0.317s      0.631w      1 calls
| DFMP2 Metric                      :      2.783u      0.133s      0.439w      1 calls
| DFMP2 Aia Read                    :      0.083u      0.033s      0.018w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.617u      0.017s      0.095w      1 calls
| DFMP2 Qia Write                   :      0.117u      0.050s      0.025w      1 calls
DFMP2 Energy                        :      1.617u      0.100s      0.266w      1 calls
| DFMP2 Qia Read                    :      0.150u      0.050s      0.028w      2 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Thu Apr  2 11:11:15 2020
Timers Off: Thu Apr  2 11:15:35 2020

Wall Time:      259.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.717u      0.083s      0.195w      2 calls
DFH: initialize()                   :     63.967u      5.233s     11.790w      2 calls
DFH: AO Construction                :     15.833u      1.200s      2.556w      2 calls
DFH: AO-Met. Contraction            :     37.417u      2.983s      7.225w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.041w      1 calls
HF: Form S/X                        :      0.167u      0.017s      0.028w      1 calls
HF: Guess                           :      4.433u      0.250s      0.703w      1 calls
SAD Guess                           :      4.333u      0.250s      0.687w      1 calls
HF: Form G                          :     65.283u      5.817s     10.670w     17 calls
JK: D                               :      0.167u      0.000s      0.022w     30 calls
JK: USO2AO                          :      0.133u      0.000s      0.027w     30 calls
JK: JK                              :    154.800u     12.617s     25.134w     30 calls
DFH: compute_JK()                   :    154.800u     12.617s     25.133w     30 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     30 calls
DFH: compute_J                      :     39.900u      1.017s      6.145w     30 calls
DFH: compute_K                      :    109.733u      9.267s     17.855w     30 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     30 calls
HF: Form F                          :      0.050u      0.000s      0.015w     17 calls
HF: Form D                          :      0.083u      0.000s      0.012w     17 calls
HF: DIIS                            :      1.867u      0.417s      0.350w     16 calls
DIISManager::add_entry              :      0.267u      0.033s      0.055w     16 calls
DIISManager::extrapolate            :      0.850u      0.333s      0.171w     16 calls
bMatrix setup                       :      0.417u      0.167s      0.084w     16 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w     16 calls
New vector                          :      0.417u      0.150s      0.082w     16 calls
HF: Form C                          :      2.450u      0.033s      0.377w     16 calls
DFMP2 Singles                       :      0.050u      0.000s      0.006w      1 calls
DFMP2 Aia                           :     20.450u      5.767s      5.842w      1 calls
DFMP2 (A|mn)                        :     13.700u      3.117s      2.591w      1 calls
DFMP2 (A|mn)C_mi                    :      2.000u      0.017s      0.301w      1 calls
DFMP2 (A|mi)C_na                    :      0.633u      0.233s      0.130w      1 calls
DFMP2 Aia Write                     :      0.350u      0.167s      0.078w      1 calls
DFMP2 iaQ                           :     11.583u      1.817s      2.561w      1 calls
DFMP2 Metric                        :      4.467u      0.150s      0.771w      1 calls
DFMP2 Aia Read                      :      0.017u      0.100s      0.066w      1 calls
DFMP2 (Q|A)(A|ia)                   :      4.533u      0.133s      0.704w      2 calls
DFMP2 Qia Write                     :      0.467u      0.200s      0.098w      1 calls
DFMP2 Qia Read                      :      0.117u      0.217s      0.201w      3 calls
DFMP2 Bia Write                     :      0.367u      0.183s      0.081w      1 calls
DFMP2 aiQ                           :      0.350u      0.433s      0.364w      1 calls
DFMP2 Tij                           :     23.000u      3.650s      5.831w      1 calls
DFMP2 Cia Read                      :      0.000u      0.200s      0.118w      2 calls
DFMP2 I                             :     15.217u      0.217s      2.315w      2 calls
DFMP2 T2                            :      3.750u      0.017s      0.567w      2 calls
DFMP2 G                             :      7.600u      0.350s      1.193w      1 calls
DFMP2 Pab                           :      3.083u      0.283s      0.504w      1 calls
DFMP2 Gia Write                     :      0.383u      0.200s      0.087w      1 calls
DFMP2 Tab                           :     11.433u      1.733s      3.073w      1 calls
DFMP2 Qai Read                      :      0.117u      0.100s      0.124w      2 calls
DFMP2 Pij                           :      0.817u      0.000s      0.122w      1 calls
DFMP2 gamma                         :      3.150u      0.633s      0.852w      1 calls
DFMP2 Gia Read                      :      0.000u      0.133s      0.081w      2 calls
DFMP2 g                             :      2.283u      0.017s      0.347w      1 calls
DFMP2 Gia                           :      1.333u      0.733s      0.606w      1 calls
DFMP2 aiG Write                     :      0.233u      0.150s      0.079w      1 calls
DFMP2 AB^x                          :      1.083u      0.050s      0.222w      1 calls
DFMP2 Amn^x                         :     48.650u      2.133s      9.128w      1 calls
DFMP2 L                             :     26.433u      4.367s      7.782w      1 calls
DFMP2 P                             :      0.033u      0.000s      0.018w      1 calls
DFMP2 W                             :      0.100u      0.017s      0.023w      1 calls
DFMP2 Z                             :    125.233u      9.933s     21.058w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.150u      0.033s      0.100w      1 calls
DFH: initialize()                   :     31.000u      2.617s      5.726w      1 calls
| DFH: AO Construction              :      7.633u      0.617s      1.239w      1 calls
| DFH: AO-Met. Contraction          :     17.833u      1.400s      3.404w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.041w      1 calls
HF: Form S/X                        :      0.167u      0.017s      0.028w      1 calls
HF: Guess                           :      4.433u      0.250s      0.703w      1 calls
| SAD Guess                         :      4.333u      0.250s      0.687w      1 calls
HF: Form G                          :     65.283u      5.817s     10.670w     17 calls
| JK: D                             :      0.117u      0.000s      0.013w     17 calls
| JK: USO2AO                        :      0.067u      0.000s      0.016w     17 calls
| JK: JK                            :     64.833u      5.750s     10.596w     17 calls
| | DFH: compute_JK()               :     64.833u      5.750s     10.595w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :     18.817u      0.700s      2.927w     17 calls
| | | DFH: compute_K                :     44.150u      4.233s      7.260w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.050u      0.000s      0.015w     17 calls
HF: Form D                          :      0.083u      0.000s      0.012w     17 calls
HF: DIIS                            :      1.867u      0.417s      0.350w     16 calls
| DIISManager::add_entry            :      0.267u      0.033s      0.055w     16 calls
| DIISManager::extrapolate          :      0.850u      0.333s      0.171w     16 calls
| | bMatrix setup                   :      0.417u      0.167s      0.084w     16 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.005w     16 calls
| | New vector                      :      0.417u      0.150s      0.082w     16 calls
HF: Form C                          :      2.450u      0.033s      0.377w     16 calls
DFMP2 Singles                       :      0.050u      0.000s      0.006w      1 calls
DFMP2 Aia                           :     20.450u      5.767s      5.842w      1 calls
| DFMP2 (A|mn)                      :     13.700u      3.117s      2.591w      1 calls
| DFMP2 (A|mn)C_mi                  :      2.000u      0.017s      0.301w      1 calls
| DFMP2 (A|mi)C_na                  :      0.633u      0.233s      0.130w      1 calls
| DFMP2 Aia Write                   :      0.350u      0.167s      0.078w      1 calls
DFMP2 iaQ                           :     11.583u      1.817s      2.561w      1 calls
| DFMP2 Metric                      :      4.467u      0.150s      0.771w      1 calls
| DFMP2 Aia Read                    :      0.017u      0.100s      0.066w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      4.533u      0.133s      0.704w      2 calls
| DFMP2 Qia Write                   :      0.467u      0.200s      0.098w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.117s      0.072w      1 calls
| DFMP2 Bia Write                   :      0.367u      0.183s      0.081w      1 calls
DFMP2 aiQ                           :      0.350u      0.433s      0.364w      1 calls
DFMP2 Tij                           :     23.000u      3.650s      5.831w      1 calls
| DFMP2 Qia Read                    :      0.117u      0.100s      0.129w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.100s      0.059w      1 calls
| DFMP2 I                           :      8.150u      0.183s      1.250w      1 calls
| DFMP2 T2                          :      1.767u      0.000s      0.265w      1 calls
| DFMP2 G                           :      7.600u      0.350s      1.193w      1 calls
| DFMP2 Pab                         :      3.083u      0.283s      0.504w      1 calls
| DFMP2 Gia Write                   :      0.383u      0.200s      0.087w      1 calls
DFMP2 Tab                           :     11.433u      1.733s      3.073w      1 calls
| DFMP2 Qai Read                    :      0.117u      0.100s      0.124w      2 calls
| DFMP2 I                           :      7.067u      0.033s      1.065w      1 calls
| DFMP2 T2                          :      1.983u      0.017s      0.302w      1 calls
| DFMP2 Pij                         :      0.817u      0.000s      0.122w      1 calls
DFMP2 gamma                         :      3.150u      0.633s      0.852w      1 calls
| DFMP2 Gia Read                    :      0.000u      0.067s      0.041w      1 calls
| DFMP2 Cia Read                    :      0.000u      0.100s      0.059w      1 calls
| DFMP2 g                           :      2.283u      0.017s      0.347w      1 calls
DFMP2 Gia                           :      1.333u      0.733s      0.606w      1 calls
| DFMP2 Gia Read                    :      0.000u      0.067s      0.039w      1 calls
| DFMP2 aiG Write                   :      0.233u      0.150s      0.079w      1 calls
DFMP2 AB^x                          :      1.083u      0.050s      0.222w      1 calls
DFMP2 Amn^x                         :     48.650u      2.133s      9.128w      1 calls
DFMP2 L                             :     26.433u      4.367s      7.782w      1 calls
DFMP2 P                             :      0.033u      0.000s      0.018w      1 calls
DFMP2 W                             :      0.100u      0.017s      0.023w      1 calls
DFMP2 Z                             :    125.233u      9.933s     21.058w      1 calls
| DFH: sparsity prep                :      0.567u      0.050s      0.095w      1 calls
| DFH: initialize()                 :     32.967u      2.617s      6.063w      1 calls
| | DFH: AO Construction            :      8.200u      0.583s      1.318w      1 calls
| | DFH: AO-Met. Contraction        :     19.583u      1.583s      3.821w      1 calls
| JK: D                             :      0.050u      0.000s      0.010w     13 calls
| JK: USO2AO                        :      0.067u      0.000s      0.010w     13 calls
| JK: JK                            :     89.967u      6.867s     14.538w     13 calls
| | DFH: compute_JK()               :     89.967u      6.867s     14.538w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :     21.083u      0.317s      3.218w     13 calls
| | | DFH: compute_K                :     65.583u      5.033s     10.595w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************
